alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1762129063.7297,elite,110.91048064521,1742490215.4439,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762849307,1762954710.513,80,http,http://216.205.52.126:80,false,20.481586456299,80538,870,98.931308962264,216.205.52.126
true,1762321341.9661,elite,110.67336777464,1742496905.0635,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762849463,1762954710.494,80,http,http://170.114.45.181:80,false,84.806203842163,80359,3244,96.119756468069,170.114.45.181
true,1760769540.9218,elite,111.38470143752,1742607019.7362,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762849576,1762954710.4518,80,http,http://170.114.45.246:80,false,75.259208679199,80213,728,99.100579434403,170.114.45.246
true,1762432538.8697,elite,110.02738059043,1742469294.4693,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762849124,1762954710.3793,80,http,http://185.221.160.79:80,false,71.527481079102,81083,3810,95.511997455621,185.221.160.79
true,1762129005.1557,elite,139.14256706769,1761067999.5047,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1762883032,1762954710.3021,80,http,http://102.177.176.243:80,false,204.72598075867,13137,1,99.992388491399,102.177.176.243
true,1757591741.9529,elite,110.08313735129,1729838799.8465,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849141,1762954710.1573,80,http,http://108.162.192.55:80,false,624.46856498718,83351,3326,96.162765208764,108.162.192.55
true,1761068249.48,elite,139.71360761416,1761068249.48,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762882818,1762954709.9862,80,http,http://108.162.193.91:80,false,30.647993087769,13686,0,100,108.162.193.91
true,1758183171.4063,elite,110.59523665771,1750614821.1463,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762848731,1762954709.8473,80,http,http://45.67.215.139:80,false,90.171098709106,80888,97,99.880224732975,45.67.215.139
true,1761067545.3557,elite,139.5732217904,1761067545.3557,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1762882432,1762954709.8125,80,http,http://102.177.176.126:80,false,259.06324386597,13120,0,100,102.177.176.126
true,1761555635.1159,elite,138.84842540819,1761067975.8834,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762882668,1762954709.7046,80,http,http://8.35.211.111:80,false,230.22150993347,13644,2,99.985343690459,8.35.211.111
